category,temperature,humidity,v_no2,v_etoh,v_voc,v_co
0,20.0,47.0,0.1777,0.5009,0.6681,1.0568
0,20.0,46.9,0.1684,0.5063,0.6819,1.0552
0,20.0,47.0,0.1644,0.5074,0.6722,1.0487
0,20.0,47.0,0.1724,0.51,0.6839,1.0565
0,20.0,46.9,0.1792,0.508,0.671,1.052
0,20.0,46.9,0.1747,0.5059,0.6889,1.0574
0,20.0,46.9,0.1751,0.5078,0.6792,1.0405
0,20.0,46.9,0.1815,0.5023,0.6815,1.0526
0,20.0,46.9,0.1781,0.4979,0.6907,1.0512
0,20.0,47.0,0.1836,0.5099,0.6726,1.0444
0,20.0,47.0,0.169,0.5081,0.6821,1.0458
0,20.0,46.9,0.1807,0.5041,0.6848,1.0495
0,20.0,46.9,0.1695,0.5086,0.6873,1.0592
0,20.0,46.9,0.1742,0.5144,0.6931,1.0503
0,20.0,46.9,0.1656,0.4982,0.6852,1.0443
0,20.0,47.0,0.1777,0.508,0.6758,1.0513
0,20.0,46.9,0.1707,0.5152,0.681,1.0451
0,20.0,47.0,0.168,0.4964,0.6852,1.0484
0,20.0,46.9,0.1741,0.5149,0.6824,1.0555
0,20.0,47.0,0.1696,0.5069,0.6697,1.0486
0,20.0,46.9,0.1758,0.5134,0.6885,1.0437
0,20.0,46.9,0.1667,0.5057,0.6952,1.0532
0,20.0,46.9,0.1741,0.5158,0.6891,1.0585
0,20.0,47.0,0.1676,0.5091,0.6817,1.0486
0,20.0,47.0,0.1771,0.5102,0.6866,1.0545
0,20.0,47.0,0.1778,0.4996,0.6821,1.0455
0,20.0,46.9,0.1726,0.5034,0.6739,1.0577
0,20.0,46.9,0.1665,0.51,0.6843,1.0439
0,20.0,47.0,0.1858,0.5041,0.6715,1.0593
0,20.0,46.9,0.1687,0.5152,0.6876,1.0478
0,20.0,47.0,0.1726,0.5056,0.6876,1.0499
0,20.0,46.9,0.1675,0.5022,0.6848,1.0512
0,20.0,46.9,0.1646,0.5009,0.6887,1.0515
0,20.0,46.9,0.1688,0.5077,0.6832,1.0421
0,20.0,47.0,0.1755,0.4998,0.6805,1.0527
0,20.0,47.0,0.1649,0.5121,0.6748,1.0538
0,20.0,47.0,0.1624,0.4947,0.6906,1.0507
0,20.0,47.0,0.1785,0.5022,0.6678,1.0501
0,20.0,47.0,0.1739,0.5134,0.6868,1.0417
0,20.0,46.9,0.1747,0.4966,0.6911,1.0517
0,20.0,47.0,0.1673,0.5146,0.694,1.0474
0,20.0,47.0,0.1709,0.4992,0.6888,1.0421
0,20.0,47.0,0.1683,0.5016,0.6998,1.0464
0,20.0,46.9,0.1714,0.5089,0.6819,1.0484
0,20.0,47.0,0.1759,0.5124,0.6779,1.0494
0,20.0,47.0,0.1701,0.5193,0.6749,1.0533
